source,author,feature,n,mean,std,median,min,max,mean_ci_low,mean_ci_high
r2r,human,affect_per_1000,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,human,bigram_repetition,80,0.05400375872129326,0.056451640706878775,0.04257246376811591,0.0,0.2727272727272727,0.04268372652069035,0.06586135802253608
r2r,human,cardinal_per_1000,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,human,closure_per_1000,80,31.541968023098388,31.86833660048847,28.174603174603178,0.0,153.84615384615384,25.13365001174375,38.97776062220522
r2r,human,coordination_per_1000,80,66.66164406329443,36.69841226707728,63.50806451612903,0.0,200.0,58.29166508075747,74.511798078023
r2r,human,deictic_per_1000,80,20.60353067192823,29.125311453123864,0.0,0.0,95.23809523809524,14.49212659940334,26.962577038362276
r2r,human,dialogue_mark_density,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,human,direction_per_1000,80,153.65362412673136,64.04966442141286,142.85714285714286,38.46153846153846,400.0,140.53714227326992,168.5165102131719
r2r,human,egocentric_per_1000,80,71.6017917662687,59.360276425826,62.89556962025317,0.0,400.0,59.64913515667916,84.47004398386898
r2r,human,first_person_per_1000,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,human,formulaic_phrase_per_1000,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,human,hapax_ratio,80,0.7965000781423948,0.10267389491499818,0.8027777777777778,0.5526315789473685,1.0,0.7745666718010373,0.81872025264566
r2r,human,imperative_sentence_share,80,0.7733928571428571,0.2953828649611473,1.0,0.0,1.0,0.7047879464285715,0.8339583333333334
r2r,human,landmark_per_1000,80,129.6211415857328,49.76682999981793,142.85714285714286,0.0,208.33333333333334,118.27954333107792,139.6116279775417
r2r,human,landmark_reuse_ratio,80,0.1267956349206349,0.17344498897966268,0.0,0.0,0.6,0.09029613095238095,0.16780853174603172
r2r,human,left_right_imbalance,80,0.5291666666666666,0.4667382404425638,0.41666666666666663,0.0,1.0,0.4270833333333333,0.6333333333333333
r2r,human,mean_sentence_len,80,12.333154761904762,6.465939922630571,11.0,5.0,42.0,11.039322916666666,13.795781250000001
r2r,human,motion_per_1000,80,172.31414695098005,71.36807716347917,162.27781435154708,41.666666666666664,400.0,157.63120049916583,187.26136586691104
r2r,human,narrative_route_ratio,80,0.1331830541534489,0.07727029365232263,0.1111111111111111,0.047619047619047616,0.5,0.11724979237684828,0.1508051837599535
r2r,human,nominalization_per_1000,80,2.3091908091908095,8.880651616063453,0.0,0.0,47.61904761904762,0.634469696969697,4.422683566433567
r2r,human,participial_ing_per_1000,80,17.629650441620573,26.78200648451321,0.0,0.0,95.23809523809524,11.904428104173594,23.407583690949384
r2r,human,passive_like_per_1000,80,1.04868154158215,5.472756354514611,0.0,0.0,34.48275862068966,0.0,2.341924442190669
r2r,human,route_step_density,80,345.9970815596601,123.60653754592384,322.0046082949309,125.0,800.0,321.601498917434,372.6682735441799
r2r,human,second_person_per_1000,80,11.358651383485306,23.823911734987735,0.0,0.0,113.92405063291139,6.588390852893428,17.299709937169617
r2r,human,sensory_per_1000,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,human,sentence_count,80,2.6125,1.2375327639186575,2.0,1.0,7.0,2.35,2.9125
r2r,human,sequence_per_1000,80,20.029310481948716,31.146512314249254,0.0,0.0,150.0,13.715135986025444,26.654833232507688
r2r,human,survey_route_ratio,80,0.23545193164678455,0.2000000881823149,0.16666666666666666,0.058823529411764705,1.0,0.19319257305194806,0.27788145504413886
r2r,human,that_per_1000,80,1.9996820658108638,7.311493414609636,0.0,0.0,33.333333333333336,0.6725251076040172,3.7461091915926605
r2r,human,type_token_ratio,80,0.7301009823846192,0.10111680831950266,0.7220689655172414,0.5217391304347826,1.0,0.7094360140306465,0.7510299506071881
r2r,human,word_count,80,28.875,13.105583890614108,27.0,5.0,79.0,26.099375000000002,32.0628125
r2r,llm,affect_per_1000,80,0.25206051727403816,1.108321083107266,0.0,0.0,5.58659217877095,0.056686046511627994,0.5073530933923438
r2r,llm,bigram_repetition,80,0.07668015261787567,0.027835377510496587,0.0731357894988181,0.03157894736842104,0.16216216216216217,0.070667311309401,0.08265766794884762
r2r,llm,cardinal_per_1000,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2r,llm,closure_per_1000,80,20.930589743247868,7.659206559363928,19.65708765998551,4.484304932735426,36.64921465968586,19.305571746506278,22.617594266801014
